Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Disc Write [MB]
/node-besu4,0.042916666666666665,0.011250000000000001,0.660,0.660,0.00,0.00,,0.00,open_report_120_20251108-180545,120,0.566
/node-besu4,0.01916666666666667,0.0062499999999999995,0.666,0.665,0.00,0.00,,0.00,open_report_120_20251108-183405,120,0.754
/node-besu2,0.01916666666666667,0.0062499999999999995,0.627,0.626,0.00,0.00,,0.00,open_report_120_20251108-183405,120,1.19
/node-besu1,0.21833333333333335,0.03208333333333333,1.51,1.50,0.00,0.00,,0.00,open_report_120_20251108-183405,120,1.50
/node-besu3,0.014166666666666668,0.004583333333333333,0.662,0.662,0.00,0.00,,0.00,open_report_120_20251108-183405,120,0.793
/node-besu4,0.02,0.006666666666666667,0.660,0.660,0.00,0.00,,0.00,open_report_140_20251108-180635,140,0.613
/node-besu2,0.017499999999999998,0.007083333333333334,0.618,0.617,0.00,0.00,,0.00,open_report_140_20251108-180635,140,0.566
/node-besu1,0.22291666666666665,0.034583333333333334,1.50,1.50,0.00,0.00,,0.00,open_report_140_20251108-180635,140,2.39
/node-besu3,0.01916666666666667,0.005,0.654,0.648,0.00,0.00,,0.00,open_report_140_20251108-180635,140,0.555
/node-besu4,0.017083333333333332,0.005,0.670,0.670,0.00,0.00,,0.00,open_report_140_20251108-184815,140,1.25
/node-besu2,0.015416666666666667,0.004583333333333333,0.631,0.631,0.00,0.00,,0.00,open_report_140_20251108-184815,140,0.781
/node-besu1,0.19166666666666665,0.03125,1.51,1.50,0.00,0.00,,0.00,open_report_140_20251108-184815,140,2.00
/node-besu3,0.015833333333333335,0.004166666666666667,0.667,0.666,0.00,0.00,,0.00,open_report_140_20251108-184815,140,0.613
/node-besu4,0.023749999999999997,0.006666666666666667,0.666,0.666,0.00,0.00,,0.00,open_report_140_20251108-183455,140,0.766
/node-besu2,0.022083333333333333,0.006666666666666667,0.627,0.626,0.00,0.00,,0.00,open_report_140_20251108-183455,140,0.801
/node-besu1,0.19083333333333333,0.029583333333333333,1.51,1.50,0.00,0.00,,0.00,open_report_140_20251108-183455,140,1.60
/node-besu3,0.015416666666666667,0.004166666666666667,0.663,0.662,0.00,0.00,,0.00,open_report_140_20251108-183455,140,0.820
/node-besu4,0.07791666666666668,0.012083333333333333,0.663,0.662,0.00,0.00,,0.00,open_report_140_20251108-182045,140,0.789
/node-besu2,0.015416666666666667,0.004166666666666667,0.622,0.622,0.00,0.00,,0.00,open_report_140_20251108-182045,140,0.832
/node-besu1,0.18708333333333335,0.029583333333333333,1.48,1.48,0.00,0.00,,0.00,open_report_140_20251108-182045,140,1.64
/node-besu3,0.015416666666666667,0.00375,0.662,0.661,0.00,0.00,,0.00,open_report_140_20251108-182045,140,1.56
/node-besu4,0.01916666666666667,0.0062499999999999995,0.661,0.660,0.00,0.00,,0.00,open_report_160_20251108-180725,160,0.563
/node-besu2,0.029583333333333333,0.007916666666666667,0.618,0.618,0.00,0.00,,0.00,open_report_160_20251108-180725,160,0.566
/node-besu1,0.09875,0.018333333333333333,1.50,1.50,0.00,0.00,,0.00,open_report_160_20251108-180725,160,1.98
/node-besu3,0.01958333333333333,0.004583333333333333,0.654,0.654,0.00,0.00,,0.00,open_report_160_20251108-180725,160,0.770
/node-besu3,0.016666666666666666,0.004583333333333333,0.662,0.661,0.00,0.00,,0.00,open_report_160_20251108-182135,160,0.871
/node-besu1,0.2383333333333333,0.03166666666666667,1.48,1.48,0.00,0.00,,0.00,open_report_160_20251108-182135,160,2.40
/node-besu2,0.010833333333333334,0.004166666666666667,0.623,0.622,0.00,0.00,,0.00,open_report_160_20251108-182135,160,0.566
/node-besu4,0.009166666666666667,0.00375,0.663,0.663,0.00,0.00,,0.00,open_report_160_20251108-182135,160,0.820
/node-besu3,0.017916666666666668,0.0062499999999999995,0.663,0.663,0.00,0.00,668,0.00,open_report_160_20251108-183545,160,
/node-besu1,0.22208333333333333,0.04416666666666667,1.51,1.51,0.00,0.00,584,0.00,open_report_160_20251108-183545,160,
/node-besu2,0.012083333333333333,0.005833333333333334,0.627,0.627,0.00,0.00,756,0.00,open_report_160_20251108-183545,160,
/node-besu4,0.012499999999999999,0.005833333333333334,0.667,0.666,0.00,0.00,956,0.00,open_report_160_20251108-183545,160,
/node-besu4,0.014583333333333332,0.004583333333333333,0.671,0.670,0.00,0.00,,0.00,open_report_160_20251108-184905,160,0.770
/node-besu2,0.012083333333333333,0.004583333333333333,0.632,0.631,0.00,0.00,,0.00,open_report_160_20251108-184905,160,0.785
/node-besu1,0.16958333333333334,0.02666666666666667,1.51,1.51,0.00,0.00,,0.00,open_report_160_20251108-184905,160,1.59
/node-besu3,0.020416666666666666,0.005,0.668,0.667,0.00,0.00,,0.00,open_report_160_20251108-184905,160,0.625
/node-besu3,0.01625,0.004166666666666667,0.661,0.661,0.00,0.00,,0.00,open_report_180_20251108-182225,180,0.855
/node-besu1,0.18416666666666667,0.023333333333333334,1.49,1.48,0.00,0.00,,0.00,open_report_180_20251108-182225,180,1.93
/node-besu2,0.0075,0.0033333333333333335,0.624,0.623,0.00,0.00,,0.00,open_report_180_20251108-182225,180,0.566
/node-besu4,0.004583333333333333,0.002916666666666667,0.664,0.663,0.00,0.00,,0.00,open_report_180_20251108-182225,180,0.770
/node-besu3,0.023749999999999997,0.004583333333333333,0.668,0.668,0.00,0.00,,0.00,open_report_180_20251108-184955,180,0.719
/node-besu1,0.18375,0.025416666666666667,1.51,1.51,0.00,0.00,,0.00,open_report_180_20251108-184955,180,1.27
/node-besu2,0.0075,0.0033333333333333335,0.632,0.632,0.00,0.00,,0.00,open_report_180_20251108-184955,180,0.852
/node-besu4,0.0075,0.0033333333333333335,0.671,0.671,0.00,0.00,,0.00,open_report_180_20251108-184955,180,0.871
/node-besu3,0.022083333333333333,0.004583333333333333,0.655,0.654,0.00,0.00,536,0.00,open_report_180_20251108-180815,180,
/node-besu1,0.12583333333333332,0.02,1.50,1.49,0.00,0.00,532,0.00,open_report_180_20251108-180815,180,
/node-besu2,0.028333333333333335,0.0075,0.619,0.618,0.00,0.00,768,0.00,open_report_180_20251108-180815,180,
/node-besu4,0.01,0.004583333333333333,0.660,0.660,0.00,0.00,680,0.00,open_report_180_20251108-180815,180,
/node-besu3,0.015833333333333335,0.004166666666666667,0.663,0.663,0.00,0.00,,0.00,open_report_180_20251108-183635,180,0.770
/node-besu1,0.17833333333333334,0.02291666666666667,1.51,1.50,0.00,0.00,,0.00,open_report_180_20251108-183635,180,2.43
/node-besu2,0.008333333333333333,0.005,0.628,0.627,0.00,0.00,,0.00,open_report_180_20251108-183635,180,0.805
/node-besu4,0.008333333333333333,0.005,0.667,0.667,0.00,0.00,,0.00,open_report_180_20251108-183635,180,0.887
