Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [MB],Memory(avg) [MB]
/node-besu7,0.012499999999999999,0.006666666666666667,,,0.00,0.00,88.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,275,query_tps275,748,748
/node-besu3,0.015833333333333335,0.007916666666666667,,,0.00,0.00,160,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,275,query_tps275,749,749
/node-besu5,0.020833333333333332,0.009166666666666667,,,0.00,0.00,104,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,275,query_tps275,831,831
/node-besu8,0.015416666666666667,0.0075,,,0.00,0.00,200,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,275,query_tps275,774,774
/node-besu6,0.012916666666666667,0.008333333333333333,,,0.00,0.00,128,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,275,query_tps275,742,741
/node-besu1,0.13999999999999999,0.05333333333333334,,,0.00,0.00,468,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,275,query_tps275,647,625
/node-besu4,0.012916666666666667,0.006666666666666667,,,0.00,0.00,144,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,275,query_tps275,730,729
/node-besu2,0.017083333333333332,0.009583333333333334,,,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,275,query_tps275,870,870
/node-besu7,0.004166666666666667,0.0033333333333333335,,,0.00,0.00,88.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,300,query_tps300,748,748
/node-besu3,0.00375,0.00375,,,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,300,query_tps300,749,749
/node-besu5,0.024166666666666666,0.010416666666666666,,,0.00,0.00,20.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,300,query_tps300,831,830
/node-besu8,0.0033333333333333335,0.0033333333333333335,,,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,300,query_tps300,775,774
/node-besu6,0.0033333333333333335,0.0033333333333333335,,,0.00,0.00,128,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,300,query_tps300,742,742
/node-besu1,0.08958333333333333,0.03208333333333333,,,0.00,0.00,660,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,300,query_tps300,610,610
/node-besu4,0.00375,0.0033333333333333335,,,0.00,0.00,20.0,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,300,query_tps300,730,729
/node-besu2,0.00375,0.0033333333333333335,,,0.00,0.00,140,0.00,8n-5s-ibft-v26.2.0_20260404_173537,query,300,query_tps300,870,870
